Directory,GC Content,Count
AA-1_R1_fastqc,0.0,0.0
AA-1_R1_fastqc,1.0,0.012345679012345678
AA-1_R1_fastqc,2.0,0.0
AA-1_R1_fastqc,3.0,0.0
AA-1_R1_fastqc,4.0,0.3333333333333333
AA-1_R1_fastqc,5.0,0.0038314176245210726
AA-1_R1_fastqc,6.0,0.0
AA-1_R1_fastqc,7.0,0.0
AA-1_R1_fastqc,8.0,0.0
AA-1_R1_fastqc,9.0,0.002932551319648094
AA-1_R1_fastqc,10.0,0.3333333333333333
AA-1_R1_fastqc,11.0,0.0
AA-1_R1_fastqc,12.0,0.5333333333333333
AA-1_R1_fastqc,13.0,0.0
AA-1_R1_fastqc,14.0,0.0
AA-1_R1_fastqc,15.0,0.27439024390243905
AA-1_R1_fastqc,16.0,0.0
AA-1_R1_fastqc,17.0,0.2
AA-1_R1_fastqc,18.0,0.7
AA-1_R1_fastqc,19.0,1.2
AA-1_R1_fastqc,20.0,0.5
AA-1_R1_fastqc,21.0,0.8333333333333333
AA-1_R1_fastqc,22.0,1.5909090909090908
AA-1_R1_fastqc,23.0,1.875
AA-1_R1_fastqc,24.0,3.208333333333333
AA-1_R1_fastqc,25.0,3.5722437137330756
AA-1_R1_fastqc,26.0,4.93073593073593
AA-1_R1_fastqc,27.0,6.070129870129869
AA-1_R1_fastqc,28.0,10.255834206837678
AA-1_R1_fastqc,29.0,16.12828986500251
AA-1_R1_fastqc,30.0,19.913023974123377
AA-1_R1_fastqc,31.0,27.026033808121323
AA-1_R1_fastqc,32.0,34.82797522009932
AA-1_R1_fastqc,33.0,51.51378209043968
AA-1_R1_fastqc,34.0,60.75016697638013
AA-1_R1_fastqc,35.0,75.34564762770074
AA-1_R1_fastqc,36.0,87.01411014931637
AA-1_R1_fastqc,37.0,86.84815361206611
AA-1_R1_fastqc,38.0,84.5289762530256
AA-1_R1_fastqc,39.0,78.47383000426835
AA-1_R1_fastqc,40.0,73.1063871850058
AA-1_R1_fastqc,41.0,64.20603874383947
AA-1_R1_fastqc,42.0,56.59974441936767
AA-1_R1_fastqc,43.0,46.2289223631366
AA-1_R1_fastqc,44.0,44.29372669281551
AA-1_R1_fastqc,45.0,35.52640446837433
AA-1_R1_fastqc,46.0,34.817612562196565
AA-1_R1_fastqc,47.0,31.243807977348947
AA-1_R1_fastqc,48.0,26.61834537638211
AA-1_R1_fastqc,49.0,22.67805455144795
AA-1_R1_fastqc,50.0,22.824594740760876
AA-1_R1_fastqc,51.0,28.529903873250092
AA-1_R1_fastqc,52.0,23.874802821271253
AA-1_R1_fastqc,53.0,17.514555864600442
AA-1_R1_fastqc,54.0,17.54752480738713
AA-1_R1_fastqc,55.0,16.33489443563418
AA-1_R1_fastqc,56.0,17.823738539345154
AA-1_R1_fastqc,57.0,16.77570628173585
AA-1_R1_fastqc,58.0,15.258933475237303
AA-1_R1_fastqc,59.0,13.094894785606048
AA-1_R1_fastqc,60.0,10.51320456054352
AA-1_R1_fastqc,61.0,8.947550897274722
AA-1_R1_fastqc,62.0,7.729364747024308
AA-1_R1_fastqc,63.0,5.220501827079276
AA-1_R1_fastqc,64.0,4.821708153503861
AA-1_R1_fastqc,65.0,5.074857965732778
AA-1_R1_fastqc,66.0,4.690762876538362
AA-1_R1_fastqc,67.0,3.2376171356566847
AA-1_R1_fastqc,68.0,3.747308045877977
AA-1_R1_fastqc,69.0,3.256997428444119
AA-1_R1_fastqc,70.0,2.972069548001386
AA-1_R1_fastqc,71.0,3.6658135984850078
AA-1_R1_fastqc,72.0,2.824510928312403
AA-1_R1_fastqc,73.0,2.4675139467085527
AA-1_R1_fastqc,74.0,3.414022858750865
AA-1_R1_fastqc,75.0,3.0096183748722733
AA-1_R1_fastqc,76.0,3.267709704321156
AA-1_R1_fastqc,77.0,2.7140762463343107
AA-1_R1_fastqc,78.0,2.0
AA-1_R1_fastqc,79.0,2.5
AA-1_R1_fastqc,80.0,3.1823600558040392
AA-1_R1_fastqc,81.0,2.5333333333333337
AA-1_R1_fastqc,82.0,2.2
AA-1_R1_fastqc,83.0,2.2
AA-1_R1_fastqc,84.0,2.0
AA-1_R1_fastqc,85.0,2.880952380952381
AA-1_R1_fastqc,86.0,2.880952380952381
AA-1_R1_fastqc,87.0,2.0
AA-1_R1_fastqc,88.0,2.0
AA-1_R1_fastqc,89.0,2.0
AA-1_R1_fastqc,90.0,2.0
AA-1_R1_fastqc,91.0,2.0
AA-1_R1_fastqc,92.0,2.0
AA-1_R1_fastqc,93.0,2.0
AA-1_R1_fastqc,94.0,2.0
AA-1_R1_fastqc,95.0,2.0
AA-1_R1_fastqc,96.0,2.0
AA-1_R1_fastqc,97.0,2.0
AA-1_R1_fastqc,98.0,2.0
AA-1_R1_fastqc,99.0,2.0
AA-1_R1_fastqc,100.0,2.0
AA-2_R1_fastqc,0.0,1.0
AA-2_R1_fastqc,1.0,1.0
AA-2_R1_fastqc,2.0,1.0
AA-2_R1_fastqc,3.0,1.0
AA-2_R1_fastqc,4.0,1.0
AA-2_R1_fastqc,5.0,1.0
AA-2_R1_fastqc,6.0,1.0
